ID,Country,Size,Industry,Sector,Propensity,Reason1,Reason2,Reason3
C001,USA,Mid,Farming,Agriculture,4,Favorable FX Trends,Dividend Growth,High Growth
C002,USA,Micro,Oil & Gas,Energy,2,Low Capex,Diversified Revenue,High Free Cash Flow
C003,USA,Mid,Asset Management,Finance,4,Favorable FX Trends,Improving Margins,New Product Launch
C004,USA,Mid,Retail,Consumer,3,Rising Demand,Improving Margins,Capital Light Model
C005,USA,Micro,Apparel,Consumer,1,Diversified Revenue,Sticky Customers,M&A Potential
C006,USA,Mid,Biotech,Healthcare,1,Share Buyback,Capital Light Model,Turnaround Plan
C007,USA,Micro,Aerospace,Industrials,1,M&A Potential,Rising Demand,Dividend Growth
C008,USA,Mid,Software,Technology,3,Turnaround Plan,Market Leader,Strong Brand
C009,USA,Micro,Machinery,Industrials,4,High Growth,Cost Efficiency,Regulatory Approval
C010,USA,Small,Hardware,Technology,4,Undervalued,Growing TAM,New Product Launch
C011,USA,Mid,Oil & Gas,Energy,4,Strong Management,Dividend Growth,Undervalued
C012,USA,Mid,Insurance,Finance,1,Sticky Customers,Regulatory Approval,Improving Margins
C013,USA,Micro,Banking,Finance,3,Growing TAM,Favorable FX Trends,Low Customer Churn
C014,USA,Large,Airlines,Transportation,1,Technological Edge,Sector Tailwinds,Low Capex
C015,USA,Micro,Packaging,Materials,4,Experienced Team,Technological Edge,Favorable FX Trends
C016,USA,Micro,Farming,Agriculture,3,Growing TAM,Capital Light Model,Experienced Team
C017,USA,Large,Metals & Mining,Materials,1,Sticky Customers,Operational Leverage,Experienced Team
C018,USA,Micro,Packaging,Materials,3,Patent Portfolio,Sector Tailwinds,Turnaround Plan
C019,USA,Micro,Apparel,Consumer,4,Low Leverage,Strong Management,Improving Margins
C020,USA,Small,EV Manufacturers,Automotive,3,Sector Tailwinds,M&A Potential,Market Leader
C021,USA,Small,Publishing,Media,2,Cost Efficiency,Diversified Revenue,Undervalued
C022,USA,Micro,Broadcasting,Media,1,Strong Management,New Product Launch,Diversified Revenue
C023,USA,Large,Utilities,Energy,4,Rising Demand,Strong Brand,Low Leverage
C024,USA,Small,Medical Devices,Healthcare,1,Improving Margins,Capital Light Model,Turnaround Plan
C025,USA,Large,Wireless Services,Telecommunications,1,M&A Potential,Market Leader,Dividend Growth
C026,USA,Large,Wireless Services,Telecommunications,1,Cost Efficiency,Improving Margins,Sector Tailwinds
C027,USA,Mid,Parts Suppliers,Automotive,3,Market Leader,Global Expansion,Operational Leverage
C028,USA,Small,Streaming,Media,4,Rising Demand,Patent Portfolio,Sector Tailwinds
C029,USA,Mid,Tutoring,Education,1,Market Leader,Growing TAM,Low Leverage
C030,USA,Large,Residential RE,Real Estate,1,Recurring Revenue,Experienced Team,Low Leverage
C031,USA,Micro,Renewables,Energy,4,M&A Potential,Positive Guidance,Global Expansion
C032,USA,Large,Parts Suppliers,Automotive,2,Regulatory Approval,Cost Efficiency,Positive Guidance
C033,USA,Small,Retail,Consumer,2,Diversified Revenue,Strong Management,Regulatory Approval
C034,USA,Micro,Insurance,Finance,1,Dividend Growth,Low Leverage,Undervalued
C035,USA,Micro,Residential RE,Real Estate,1,Low Capex,Global Expansion,High Free Cash Flow
C036,USA,Small,Hardware,Technology,2,Global Expansion,Sticky Customers,Improving Margins
C037,USA,Micro,Software,Technology,3,Technological Edge,Rising Demand,Sticky Customers
C038,USA,Large,Construction,Industrials,1,Strong Brand,Regulatory Approval,Capital Light Model
C039,USA,Small,Asset Management,Finance,1,Capital Light Model,Market Leader,Favorable FX Trends
C040,USA,Small,Broadband,Telecommunications,2,Low Leverage,Improving Margins,Turnaround Plan
C041,USA,Micro,Renewables,Energy,3,Growing TAM,M&A Potential,High Growth
C042,USA,Mid,EV Manufacturers,Automotive,4,Sector Tailwinds,Strong Management,Market Leader
C043,USA,Micro,Asset Management,Finance,1,High Growth,Strong Brand,Sector Tailwinds
C044,USA,Small,Streaming,Media,1,High Free Cash Flow,Low Capex,Market Leader
C045,USA,Mid,Insurance,Finance,4,Strong Management,High Free Cash Flow,Share Buyback
C046,USA,Small,Pharmaceuticals,Healthcare,4,Low Capex,New Product Launch,Operational Leverage
C047,USA,Large,Banking,Finance,3,Low Leverage,Turnaround Plan,Favorable FX Trends
C048,USA,Mid,Commercial RE,Real Estate,3,Share Buyback,Cost Efficiency,M&A Potential
C049,USA,Large,Pharmaceuticals,Healthcare,2,Low Customer Churn,Patent Portfolio,Positive Guidance
C050,USA,Micro,Medical Devices,Healthcare,1,Sector Tailwinds,New Product Launch,Market Leader
C051,USA,Large,Broadband,Telecommunications,4,Low Competition,Share Buyback,Strong Brand
C052,USA,Large,Oil & Gas,Energy,2,Global Expansion,Technological Edge,Market Leader
C053,USA,Large,Logistics,Transportation,3,Low Customer Churn,High Growth,M&A Potential
C054,USA,Micro,Machinery,Industrials,4,Undervalued,M&A Potential,High Growth
C055,USA,Small,Parts Suppliers,Automotive,2,Sticky Customers,Patent Portfolio,Global Expansion
C056,USA,Micro,Metals & Mining,Materials,1,Sector Tailwinds,Undervalued,High Growth
C057,USA,Micro,Aerospace,Industrials,3,Patent Portfolio,Undervalued,M&A Potential
C058,USA,Mid,Software,Technology,2,M&A Potential,Undervalued,Low Competition
C059,USA,Large,Medical Devices,Healthcare,3,High Growth,Dividend Growth,Operational Leverage
C060,USA,Micro,Airlines,Transportation,1,Dividend Growth,Regulatory Approval,Favorable FX Trends
C061,USA,Large,Hotels,Hospitality,2,Experienced Team,New Product Launch,Turnaround Plan
C062,USA,Large,Wireless Services,Telecommunications,4,Sticky Customers,New Product Launch,Growing TAM
C063,USA,Large,Insurance,Finance,2,Market Leader,Improving Margins,M&A Potential
C064,USA,Micro,Logistics,Transportation,3,Sticky Customers,Growing TAM,Dividend Growth
C065,USA,Micro,Airlines,Transportation,1,M&A Potential,Cost Efficiency,Low Capex
C066,USA,Micro,OEMs,Automotive,4,Favorable FX Trends,Sticky Customers,Low Leverage
C067,USA,Mid,Residential RE,Real Estate,2,Diversified Revenue,Technological Edge,Recurring Revenue
C068,USA,Mid,Retail,Consumer,4,Turnaround Plan,Rising Demand,Sector Tailwinds
C069,USA,Large,Pharmaceuticals,Healthcare,3,Favorable FX Trends,Rising Demand,Patent Portfolio
C070,USA,Micro,AgTech,Agriculture,2,Growing TAM,Improving Margins,Share Buyback
C071,USA,Large,Wireless Services,Telecommunications,2,Sticky Customers,Positive Guidance,Recurring Revenue
C072,USA,Micro,Travel,Hospitality,2,Growing TAM,Global Expansion,M&A Potential
C073,USA,Mid,Rail,Transportation,1,Rising Demand,High Growth,Strong Brand
C074,USA,Mid,Farming,Agriculture,2,Turnaround Plan,Low Capex,Regulatory Approval
C075,USA,Mid,Chemicals,Materials,3,Technological Edge,Recurring Revenue,Capital Light Model
C076,USA,Micro,Agribusiness,Agriculture,2,Low Customer Churn,Strong Management,New Product Launch
C077,USA,Small,Asset Management,Finance,1,Cost Efficiency,Growing TAM,Strong Brand
C078,USA,Mid,Tutoring,Education,4,Low Capex,M&A Potential,High Free Cash Flow
C079,USA,Large,Hotels,Hospitality,3,Experienced Team,Sticky Customers,Rising Demand
C080,USA,Micro,Food & Beverage,Consumer,1,Low Capex,Cost Efficiency,Strong Brand
C081,USA,Mid,Wireless Services,Telecommunications,2,Low Leverage,Cost Efficiency,Favorable FX Trends
C082,USA,Mid,Aerospace,Industrials,1,Low Leverage,Regulatory Approval,Share Buyback
C083,USA,Large,Wireless Services,Telecommunications,3,Share Buyback,Regulatory Approval,Strong Management
C084,USA,Small,Airlines,Transportation,4,Share Buyback,Sector Tailwinds,Regulatory Approval
C085,USA,Mid,Insurance,Finance,2,Patent Portfolio,Global Expansion,Capital Light Model
C086,USA,Large,Publishing,Media,1,M&A Potential,Low Competition,High Free Cash Flow
C087,USA,Small,Food & Beverage,Consumer,3,M&A Potential,Global Expansion,Share Buyback
C088,USA,Micro,Tutoring,Education,3,Dividend Growth,Turnaround Plan,New Product Launch
C089,USA,Mid,Broadband,Telecommunications,4,Rising Demand,Market Leader,Technological Edge
C090,USA,Small,Wireless Services,Telecommunications,4,Patent Portfolio,Favorable FX Trends,Strong Brand
C091,USA,Mid,Hardware,Technology,3,Positive Guidance,Growing TAM,Rising Demand
C092,USA,Micro,Renewables,Energy,2,Strong Brand,Cost Efficiency,Low Leverage
C093,USA,Mid,Pharmaceuticals,Healthcare,3,Share Buyback,Strong Brand,Undervalued
C094,USA,Micro,Software,Technology,4,Low Leverage,Strong Management,High Free Cash Flow
C095,USA,Mid,Renewables,Energy,3,Undervalued,Sector Tailwinds,High Growth
C096,USA,Small,Banking,Finance,2,Diversified Revenue,Undervalued,Global Expansion
C097,USA,Micro,Commercial RE,Real Estate,2,Cost Efficiency,Share Buyback,Low Customer Churn
C098,USA,Small,Banking,Finance,1,New Product Launch,Low Competition,Rising Demand
C099,USA,Micro,Semiconductors,Technology,2,Recurring Revenue,Improving Margins,Global Expansion
C100,USA,Large,Oil & Gas,Energy,1,Favorable FX Trends,Rising Demand,Strong Management
C101,USA,Micro,Rail,Transportation,3,Regulatory Approval,Sector Tailwinds,Turnaround Plan
C102,USA,Mid,Commercial RE,Real Estate,1,Strong Brand,Dividend Growth,Undervalued
C103,USA,Mid,Apparel,Consumer,4,Sticky Customers,High Free Cash Flow,Strong Management
C104,USA,Mid,Insurance,Finance,4,High Free Cash Flow,Positive Guidance,Regulatory Approval
C105,USA,Micro,Renewables,Energy,4,Favorable FX Trends,Diversified Revenue,Undervalued
C106,USA,Mid,Asset Management,Finance,2,Low Competition,Undervalued,Share Buyback
C107,USA,Mid,Apparel,Consumer,2,Favorable FX Trends,Turnaround Plan,High Growth
C108,USA,Small,Oil & Gas,Energy,3,Sticky Customers,Cost Efficiency,Capital Light Model
C109,USA,Small,Packaging,Materials,1,Low Leverage,Strong Management,Market Leader
C110,USA,Small,Streaming,Media,4,Low Leverage,Diversified Revenue,Improving Margins
C111,USA,Micro,Travel,Hospitality,4,Capital Light Model,M&A Potential,Strong Brand
C112,USA,Mid,AgTech,Agriculture,2,Undervalued,High Growth,Regulatory Approval
C113,USA,Micro,Insurance,Finance,2,New Product Launch,Recurring Revenue,High Free Cash Flow
C114,USA,Small,Medical Devices,Healthcare,1,Favorable FX Trends,Rising Demand,Dividend Growth
C115,USA,Mid,Metals & Mining,Materials,2,Undervalued,Strong Brand,Low Customer Churn
C116,USA,Mid,Tutoring,Education,4,Global Expansion,Rising Demand,Recurring Revenue
C117,USA,Large,Renewables,Energy,4,Rising Demand,Low Customer Churn,Favorable FX Trends
C118,USA,Small,Food & Beverage,Consumer,3,High Free Cash Flow,M&A Potential,Growing TAM
C119,USA,Small,Wireless Services,Telecommunications,4,Improving Margins,Market Leader,Cost Efficiency
C120,USA,Mid,Construction,Industrials,4,Improving Margins,Experienced Team,Strong Brand
C121,USA,Mid,Insurance,Finance,1,Capital Light Model,Strong Brand,New Product Launch
C122,USA,Large,Broadband,Telecommunications,1,Capital Light Model,Share Buyback,Favorable FX Trends
C123,USA,Mid,Food & Beverage,Consumer,3,Rising Demand,Diversified Revenue,M&A Potential
C124,USA,Large,Publishing,Media,4,Dividend Growth,Share Buyback,Patent Portfolio
C125,USA,Micro,Packaging,Materials,4,Operational Leverage,Market Leader,Dividend Growth
C126,USA,Small,Tutoring,Education,1,Positive Guidance,Recurring Revenue,Diversified Revenue
C127,USA,Small,Oil & Gas,Energy,3,Turnaround Plan,Technological Edge,Patent Portfolio
C128,USA,Large,Hardware,Technology,2,M&A Potential,Turnaround Plan,Diversified Revenue
C129,USA,Mid,Streaming,Media,3,Strong Management,Global Expansion,Experienced Team
