ID,Size,Industry,Country,Sector,Propensity,Reason1,Reason2,Reason3
C001,Mid,Farming,ITA,Agriculture,1,Recurring Revenue,Experienced Team,Favorable FX Trends
C002,Micro,Oil & Gas,FRA,Energy,4,Dividend Growth,Sector Tailwinds,Strong Management
C003,Mid,Asset Management,ITA,Finance,2,Global Expansion,Cost Efficiency,Rising Demand
C004,Mid,Retail,JPN,Consumer,4,Global Expansion,Turnaround Plan,Favorable FX Trends
C005,Micro,Apparel,USA,Consumer,2,High Free Cash Flow,Undervalued,Low Leverage
C006,Mid,Biotech,USA,Healthcare,3,Recurring Revenue,High Free Cash Flow,Growing TAM
C007,Micro,Aerospace,USA,Industrials,3,Rising Demand,Low Capex,Low Leverage
C008,Mid,Software,JPN,Technology,4,Undervalued,Recurring Revenue,Positive Guidance
C009,Micro,Machinery,ITA,Industrials,1,New Product Launch,Undervalued,Cost Efficiency
C010,Small,Hardware,ITA,Technology,1,Sticky Customers,High Growth,Share Buyback
C011,Mid,Oil & Gas,ITA,Energy,1,Global Expansion,Low Leverage,Regulatory Approval
C012,Mid,Insurance,USA,Finance,1,Regulatory Approval,Diversified Revenue,Share Buyback
C013,Micro,Banking,JPN,Finance,1,High Free Cash Flow,Low Customer Churn,M&A Potential
C014,Large,Airlines,USA,Transportation,3,Market Leader,Share Buyback,Improving Margins
C015,Micro,Packaging,ITA,Materials,1,Diversified Revenue,Global Expansion,Capital Light Model
C016,Micro,Farming,JPN,Agriculture,2,Share Buyback,Undervalued,Global Expansion
C017,Large,Metals & Mining,USA,Materials,1,Dividend Growth,High Growth,Sticky Customers
C018,Micro,Packaging,JPN,Materials,4,Strong Management,Diversified Revenue,M&A Potential
C019,Micro,Apparel,ITA,Consumer,2,Sticky Customers,Global Expansion,Positive Guidance
C020,Small,EV Manufacturers,JPN,Automotive,4,Market Leader,Share Buyback,Turnaround Plan
C021,Small,Publishing,FRA,Media,3,Favorable FX Trends,Technological Edge,Sector Tailwinds
C022,Micro,Broadcasting,USA,Media,2,Rising Demand,Technological Edge,Capital Light Model
C023,Large,Utilities,ITA,Energy,2,Low Leverage,Diversified Revenue,Experienced Team
C024,Small,Medical Devices,USA,Healthcare,1,Share Buyback,Cost Efficiency,M&A Potential
C025,Large,Wireless Services,USA,Telecommunications,2,Low Customer Churn,Patent Portfolio,Positive Guidance
C026,Large,Wireless Services,USA,Telecommunications,3,Sector Tailwinds,New Product Launch,Market Leader
C027,Mid,Parts Suppliers,JPN,Automotive,1,Low Competition,Share Buyback,Strong Brand
C028,Small,Streaming,ITA,Media,4,Global Expansion,Technological Edge,Market Leader
C029,Mid,Tutoring,USA,Education,1,Low Customer Churn,High Growth,M&A Potential
C030,Large,Residential RE,USA,Real Estate,2,Undervalued,M&A Potential,High Growth
C031,Micro,Renewables,ITA,Energy,2,Sticky Customers,Patent Portfolio,Global Expansion
C032,Large,Parts Suppliers,FRA,Automotive,3,Sector Tailwinds,Undervalued,High Growth
C033,Small,Retail,FRA,Consumer,3,Patent Portfolio,Undervalued,M&A Potential
C034,Micro,Insurance,USA,Finance,3,M&A Potential,Undervalued,Low Competition
C035,Micro,Residential RE,USA,Real Estate,3,High Growth,Dividend Growth,Operational Leverage
C036,Small,Hardware,FRA,Technology,3,Dividend Growth,Regulatory Approval,Favorable FX Trends
C037,Micro,Software,JPN,Technology,4,Experienced Team,New Product Launch,Turnaround Plan
C038,Large,Construction,USA,Industrials,4,Sticky Customers,New Product Launch,Growing TAM
C039,Small,Asset Management,USA,Finance,1,Market Leader,Improving Margins,M&A Potential
C040,Small,Broadband,FRA,Telecommunications,2,Sticky Customers,Growing TAM,Dividend Growth
C041,Micro,Renewables,JPN,Energy,1,M&A Potential,Cost Efficiency,Low Capex
C042,Mid,EV Manufacturers,ITA,Automotive,3,Favorable FX Trends,Sticky Customers,Low Leverage
C043,Micro,Asset Management,USA,Finance,2,Diversified Revenue,Technological Edge,Recurring Revenue
C044,Small,Streaming,USA,Media,3,Turnaround Plan,Rising Demand,Sector Tailwinds
C045,Mid,Insurance,ITA,Finance,3,Favorable FX Trends,Rising Demand,Patent Portfolio
C046,Small,Pharmaceuticals,ITA,Healthcare,1,Growing TAM,Improving Margins,Share Buyback
C047,Large,Banking,JPN,Finance,2,Sticky Customers,Positive Guidance,Recurring Revenue
C048,Mid,Commercial RE,JPN,Real Estate,2,Growing TAM,Global Expansion,M&A Potential
C049,Large,Pharmaceuticals,FRA,Healthcare,2,Rising Demand,High Growth,Strong Brand
C050,Micro,Medical Devices,USA,Healthcare,2,Turnaround Plan,Low Capex,Regulatory Approval
C051,Large,Broadband,ITA,Telecommunications,1,Technological Edge,Recurring Revenue,Capital Light Model
C052,Large,Oil & Gas,FRA,Energy,4,Low Customer Churn,Strong Management,New Product Launch
C053,Large,Logistics,JPN,Transportation,2,Cost Efficiency,Growing TAM,Strong Brand
C054,Micro,Machinery,ITA,Industrials,2,Low Capex,M&A Potential,High Free Cash Flow
C055,Small,Parts Suppliers,FRA,Automotive,1,Experienced Team,Sticky Customers,Rising Demand
C056,Micro,Metals & Mining,USA,Materials,4,Low Capex,Cost Efficiency,Strong Brand
C057,Micro,Aerospace,JPN,Industrials,3,Low Leverage,Cost Efficiency,Favorable FX Trends
C058,Mid,Software,FRA,Technology,4,Low Leverage,Regulatory Approval,Share Buyback
C059,Large,Medical Devices,JPN,Healthcare,2,Share Buyback,Regulatory Approval,Strong Management
C060,Micro,Airlines,USA,Transportation,3,Share Buyback,Sector Tailwinds,Regulatory Approval
C061,Large,Hotels,FRA,Hospitality,4,Patent Portfolio,Global Expansion,Capital Light Model
C062,Large,Wireless Services,ITA,Telecommunications,4,M&A Potential,Low Competition,High Free Cash Flow
C063,Large,Insurance,FRA,Finance,2,M&A Potential,Global Expansion,Share Buyback
C064,Micro,Logistics,JPN,Transportation,3,Dividend Growth,Turnaround Plan,New Product Launch
C065,Micro,Airlines,USA,Transportation,2,Rising Demand,Market Leader,Technological Edge
C066,Micro,OEMs,ITA,Automotive,2,Patent Portfolio,Favorable FX Trends,Strong Brand
C067,Mid,Residential RE,FRA,Real Estate,2,Positive Guidance,Growing TAM,Rising Demand
C068,Mid,Retail,ITA,Consumer,2,Strong Brand,Cost Efficiency,Low Leverage
C069,Large,Pharmaceuticals,JPN,Healthcare,1,Share Buyback,Strong Brand,Undervalued
C070,Micro,AgTech,FRA,Agriculture,3,Low Leverage,Strong Management,High Free Cash Flow
C071,Large,Wireless Services,FRA,Telecommunications,3,Undervalued,Sector Tailwinds,High Growth
C072,Micro,Travel,FRA,Hospitality,2,Diversified Revenue,Undervalued,Global Expansion
C073,Mid,Rail,USA,Transportation,3,Cost Efficiency,Share Buyback,Low Customer Churn
C074,Mid,Farming,FRA,Agriculture,1,New Product Launch,Low Competition,Rising Demand
C075,Mid,Chemicals,JPN,Materials,4,Recurring Revenue,Improving Margins,Global Expansion
C076,Micro,Agribusiness,FRA,Agriculture,4,Favorable FX Trends,Rising Demand,Strong Management
C077,Small,Asset Management,USA,Finance,4,Regulatory Approval,Sector Tailwinds,Turnaround Plan
C078,Mid,Tutoring,ITA,Education,3,Strong Brand,Dividend Growth,Undervalued
C079,Large,Hotels,JPN,Hospitality,3,Sticky Customers,High Free Cash Flow,Strong Management
C080,Micro,Food & Beverage,USA,Consumer,1,High Free Cash Flow,Positive Guidance,Regulatory Approval
C081,Mid,Wireless Services,FRA,Telecommunications,1,Favorable FX Trends,Diversified Revenue,Undervalued
C082,Mid,Aerospace,USA,Industrials,4,Low Competition,Undervalued,Share Buyback
C083,Large,Wireless Services,JPN,Telecommunications,3,Favorable FX Trends,Turnaround Plan,High Growth
C084,Small,Airlines,ITA,Transportation,2,Sticky Customers,Cost Efficiency,Capital Light Model
C085,Mid,Insurance,FRA,Finance,4,Low Leverage,Strong Management,Market Leader
C086,Large,Publishing,USA,Media,2,Low Leverage,Diversified Revenue,Improving Margins
C087,Small,Food & Beverage,JPN,Consumer,1,Capital Light Model,M&A Potential,Strong Brand
C088,Micro,Tutoring,JPN,Education,1,Undervalued,High Growth,Regulatory Approval
C089,Mid,Broadband,ITA,Telecommunications,4,New Product Launch,Recurring Revenue,High Free Cash Flow
C090,Small,Wireless Services,ITA,Telecommunications,1,Favorable FX Trends,Rising Demand,Dividend Growth
C091,Mid,Hardware,JPN,Technology,1,Undervalued,Strong Brand,Low Customer Churn
C092,Micro,Renewables,FRA,Energy,3,Global Expansion,Rising Demand,Recurring Revenue
C093,Mid,Pharmaceuticals,JPN,Healthcare,2,Rising Demand,Low Customer Churn,Favorable FX Trends
C094,Micro,Software,ITA,Technology,4,High Free Cash Flow,M&A Potential,Growing TAM
C095,Mid,Renewables,JPN,Energy,3,Improving Margins,Market Leader,Cost Efficiency
C096,Small,Banking,FRA,Finance,1,Improving Margins,Experienced Team,Strong Brand
C097,Micro,Commercial RE,FRA,Real Estate,1,Capital Light Model,Strong Brand,New Product Launch
C098,Small,Banking,USA,Finance,1,Capital Light Model,Share Buyback,Favorable FX Trends
C099,Micro,Semiconductors,FRA,Technology,4,Rising Demand,Diversified Revenue,M&A Potential
C100,Large,Oil & Gas,USA,Energy,2,Dividend Growth,Share Buyback,Patent Portfolio
C101,Micro,Rail,JPN,Transportation,3,Operational Leverage,Market Leader,Dividend Growth
C102,Mid,Commercial RE,USA,Real Estate,4,Positive Guidance,Recurring Revenue,Diversified Revenue
C103,Mid,Apparel,ITA,Consumer,2,Turnaround Plan,Technological Edge,Patent Portfolio
C104,Mid,Insurance,ITA,Finance,2,M&A Potential,Turnaround Plan,Diversified Revenue
C105,Micro,Renewables,ITA,Energy,4,Strong Management,Global Expansion,Experienced Team
C106,Mid,Asset Management,FRA,Finance,4,Strong Brand,Undervalued,Market Leader
C107,Mid,Apparel,FRA,Consumer,1,Regulatory Approval,Share Buyback,Patent Portfolio
C108,Small,Oil & Gas,JPN,Energy,4,Low Leverage,Recurring Revenue,Diversified Revenue
C109,Small,Packaging,USA,Materials,2,High Growth,Turnaround Plan,Patent Portfolio
C110,Small,Streaming,ITA,Media,4,Dividend Growth,Experienced Team,Positive Guidance
C111,Micro,Travel,ITA,Hospitality,2,Global Expansion,Recurring Revenue,Strong Management
C112,Mid,AgTech,FRA,Agriculture,2,Cost Efficiency,Favorable FX Trends,Low Capex
C113,Micro,Insurance,FRA,Finance,4,High Growth,Low Customer Churn,Cost Efficiency
C114,Small,Medical Devices,USA,Healthcare,4,Growing TAM,Cost Efficiency,Undervalued
C115,Mid,Metals & Mining,FRA,Materials,4,Low Capex,High Growth,Strong Management
C116,Mid,Tutoring,ITA,Education,1,Sector Tailwinds,M&A Potential,Operational Leverage
C117,Large,Renewables,ITA,Energy,1,Regulatory Approval,Operational Leverage,Dividend Growth
C118,Small,Food & Beverage,JPN,Consumer,4,Regulatory Approval,Diversified Revenue,Cost Efficiency
C119,Small,Wireless Services,ITA,Telecommunications,4,Strong Management,Cost Efficiency,Recurring Revenue
C120,Mid,Construction,ITA,Industrials,4,Global Expansion,Positive Guidance,New Product Launch
